"Bldg_Type","Longitude","Latitude","Sale_Price"
"OneFam",-93.684451,42.013641,210000
"OneFam",-93.681479,42.017856,227000
"TwoFmCon",-93.639428,42.01359,157000
"OneFam",-93.655988,42.050411,315000
"OneFam",-93.684116,42.015793,195800
"OneFam",-93.655739,42.05443,348000
"OneFam",-93.643489,42.011793,223000
"OneFam",-93.600066,41.991885,172000
"OneFam",-93.608954,42.03128,130000
"OneFam",-93.661944,42.017726,144500
"OneFam",-93.6261431,42.0471033,147000
"OneFam",-93.641155,42.016827,250000
"TwnhsE",-93.633797,42.06076,180000
"OneFam",-93.621532,42.033366,105000
"OneFam",-93.643039,42.062004,159895
"OneFam",-93.6193873,42.052659,172000
"OneFam",-93.629496,42.020855,85000
"OneFam",-93.669544,42.033686,145000
"OneFam",-93.610875,42.042728,163500
"OneFam",-93.68675,42.016212,200000
"OneFam",-93.621501,42.033336,131000
"Duplex",-93.6791142,42.0362103,144000
"OneFam",-93.67318,42.018922,171500
"TwnhsE",-93.683728,42.016252,155900
"OneFam",-93.604923,41.991612,146800
"OneFam",-93.623643,42.032399,113000
"OneFam",-93.615337,42.027953,144000
"OneFam",-93.627112,42.053395,126000
"OneFam",-93.606944,41.996888,251000
"TwnhsE",-93.681297,42.016274,144000
"OneFam",-93.629256,42.035379,79900
"OneFam",-93.632571,42.058136,275000
"OneFam",-93.633962,42.050346,190000
"OneFam",-93.642793,42.014682,266500
"OneFam",-93.620651,42.039211,197600
"OneFam",-93.633796,42.052915,278000
"OneFam",-93.6051157,42.0272703,110000
"TwoFmCon",-93.612239,42.029084,163000
"TwnhsE",-93.649291,42.058284,202500
"OneFam",-93.657017,42.034411,137500
"OneFam",-93.685029,42.034678,171000
"OneFam",-93.625926,42.03047,153000
"OneFam",-93.66751,42.020196,140000
"OneFam",-93.618428,42.03981,136000
"TwnhsE",-93.603111,41.99217,80000
"OneFam",-93.610611,42.035921,119200
"OneFam",-93.687819,42.017109,250000
"OneFam",-93.603704,42.036792,155000
"OneFam",-93.655674,42.022091,117000
"OneFam",-93.659279,42.032564,63900
"OneFam",-93.612265,42.035938,139000
"OneFam",-93.663054,42.028381,240000
"TwnhsE",-93.648705,42.044419,217500
"OneFam",-93.690215,42.017631,214000
"TwnhsE",-93.686267,42.035555,172000
"TwnhsE",-93.641635,42.06257,160000
"OneFam",-93.623632,42.031493,123000
"OneFam",-93.669606,42.026185,216000
"OneFam",-93.631245,42.04378,240000
"OneFam",-93.610623,42.037329,143000
"OneFam",-93.621504,42.027854,155000
"OneFam",-93.628269,42.058816,470000
"OneFam",-93.663509,42.020783,111000
"TwoFmCon",-93.616969,42.020077,119600
"OneFam",-93.688577,42.016913,205000
"OneFam",-93.6428055,42.0191252,205000
"OneFam",-93.6192014,42.0381282,129000
"TwnhsE",-93.624575,42.05057,155000
"OneFam",-93.607957,42.037203,119000
"OneFam",-93.606743,42.036053,133700
"OneFam",-93.658232,42.037103,373000
"OneFam",-93.634634,42.048009,185000
"OneFam",-93.624591,42.031049,128000
"OneFam",-93.691433,42.024613,200000
"OneFam",-93.671926,42.034663,129200
"TwoFmCon",-93.625436,42.028544,129000
"OneFam",-93.615465,42.036002,125000
"OneFam",-93.608359,41.992193,115000
"TwoFmCon",-93.6246096,42.0242331,82375
"TwnhsE",-93.624373,42.055318,184000
"OneFam",-93.644527,42.004509,335000
"OneFam",-93.637463,42.043306,205000
"OneFam",-93.619754,42.054035,215000
"OneFam",-93.659855,42.022754,108000
"OneFam",-93.605839,42.03548,134500
"OneFam",-93.64021,42.060021,211000
"OneFam",-93.664779,42.022478,118000
"OneFam",-93.644457,42.062058,174000
"OneFam",-93.670114,42.03009,270000
"OneFam",-93.63724,42.05026,152000
"Duplex",-93.6435257,42.0199537,145000
"TwoFmCon",-93.6618779,42.0244599,107500
"OneFam",-93.668212,42.023982,121500
"OneFam",-93.610604,42.034811,138000
"OneFam",-93.658537,42.022824,120000
"OneFam",-93.646099,41.999553,176000
"OneFam",-93.646788,41.996089,187500
"OneFam",-93.608927,42.038349,135000
"OneFam",-93.655159,42.052361,269790
"TwnhsE",-93.632013,42.059518,189000
"OneFam",-93.692135,42.021176,143000
"OneFam",-93.663619,42.03387,85000
"Twnhs",-93.604252,41.991786,91000
"OneFam",-93.607723,42.032357,108500
"OneFam",-93.687684,42.015914,207000
"OneFam",-93.685571,42.016979,230000
"OneFam",-93.626022,42.03179,140200
"OneFam",-93.648415,42.016086,131000
"OneFam",-93.612264,42.039445,100000
"OneFam",-93.65604,42.059241,386250
"TwnhsE",-93.642116,42.063301,213490
"OneFam",-93.637279,42.05701,185000
"OneFam",-93.651635,42.017083,168000
"OneFam",-93.623666,42.03337,164900
"OneFam",-93.62454,42.031499,115000
"OneFam",-93.622769,42.056375,115000
"OneFam",-93.6030815,41.9881729,139000
"TwoFmCon",-93.6217097,42.0260296,97500
"OneFam",-93.616848,42.021506,40000
"Duplex",-93.608343,41.99329,215000
"OneFam",-93.613899,42.034574,156500
"OneFam",-93.66636,42.033277,165000
"OneFam",-93.629313,42.035482,76500
"OneFam",-93.623642,42.032299,114500
"OneFam",-93.607174,42.039987,148000
"OneFam",-93.6176367,42.0303538,135000
"OneFam",-93.639407,42.0125,224000
"OneFam",-93.669806,42.033225,129500
"OneFam",-93.687518,42.018839,158000
"OneFam",-93.657835,42.062789,610000
"OneFam",-93.645713,42.044693,162500
"TwnhsE",-93.649361,42.042565,155000
"OneFam",-93.6220148,42.0593867,169000
"OneFam",-93.676369,42.020995,149900
"OneFam",-93.682032,42.031077,225000
"OneFam",-93.690364,42.025577,272500
"OneFam",-93.643539,42.01141,315000
"OneFam",-93.686931,42.013952,208500
"OneFam",-93.625313,42.0228,75200
"OneFam",-93.626097,42.045728,155000
"OneFam",-93.637299,42.057006,160000
"OneFam",-93.6353259,42.0524029,188900
"OneFam",-93.618634,42.043988,136500
"OneFam",-93.6600396,42.0277962,125000
"Duplex",-93.601089,41.991574,146500
"OneFam",-93.637343,42.053532,260000
"Twnhs",-93.648143,42.043704,206000
"OneFam",-93.626689,42.021497,152000
"OneFam",-93.623636,42.042124,151500
"OneFam",-93.621344,42.042485,124000
"OneFam",-93.604106,42.039568,242000
"OneFam",-93.660522,42.034532,140000
"TwnhsE",-93.603398,41.991824,85500
"OneFam",-93.657967,42.061284,450000
"OneFam",-93.628047,42.05346,123000
"OneFam",-93.689019,42.017766,191000
"OneFam",-93.688803,42.036089,190500
"OneFam",-93.631795,42.056211,151500
"OneFam",-93.651811,42.018837,140000
"OneFam",-93.6436049,42.059803,178000
"OneFam",-93.658224,42.062776,451950
"OneFam",-93.610438,42.029025,475000
"OneFam",-93.596569,42.022658,87000
"OneFam",-93.623556,42.03713,165500
"OneFam",-93.604836,42.036949,187000
"OneFam",-93.637158,42.054395,213000
"OneFam",-93.666035,42.02653,146000
"TwnhsE",-93.686417,42.03548,143000
"OneFam",-93.613624,42.042308,108000
"OneFam",-93.600147,41.989185,231000
"OneFam",-93.60674,42.040768,277500
"OneFam",-93.642374,42.051426,200825
"OneFam",-93.610588,42.029001,160000
"OneFam",-93.6291062,42.0213831,120500
"OneFam",-93.626137,42.046574,142250
"OneFam",-93.635951,42.057419,185000
"TwnhsE",-93.615993,42.008687,246000
"Twnhs",-93.670039,42.018812,130000
"OneFam",-93.66526,42.025173,127000
"OneFam",-93.602777,41.987659,149000
"OneFam",-93.639574,42.051054,340000
"OneFam",-93.6514413,42.0177987,126000
"OneFam",-93.6247461,42.0562952,128000
"OneFam",-93.652608,42.053441,340000
"OneFam",-93.653479,42.049528,315000
"OneFam",-93.643522,42.059635,193000
"TwnhsE",-93.647047,42.046088,305000
"OneFam",-93.621566,42.041172,141000
"OneFam",-93.6446004,41.9981656,213500
"OneFam",-93.664821,42.01965,112000
"OneFam",-93.637917,42.05817,163900
"OneFam",-93.607801,42.034848,134800
"OneFam",-93.65332,42.0608079,275000
"OneFam",-93.626565,42.054603,184000
"OneFam",-93.602505,41.995931,210000
"TwnhsE",-93.645671,42.046144,168500
"OneFam",-93.622465,42.042241,118000
"OneFam",-93.636511,42.055358,235000
"OneFam",-93.606577,41.994357,183500
"OneFam",-93.623644,42.03246,133000
"Duplex",-93.603173,41.996907,135000
"OneFam",-93.604858,41.986588,124500
"OneFam",-93.688383,42.018667,200000
"OneFam",-93.627,42.029399,207000
"OneFam",-93.677545,42.020635,144000
"OneFam",-93.680864,42.018721,240000
"OneFam",-93.606374,41.993185,173000
"OneFam",-93.603867,41.988222,112000
"OneFam",-93.600439,41.991708,140000
"OneFam",-93.685673,42.016978,211000
"TwnhsE",-93.669952,42.01896,145500
"OneFam",-93.637191,42.050176,179900
"OneFam",-93.651773,42.046825,362500
"OneFam",-93.64247,42.055036,275000
"OneFam",-93.689101,42.015974,231500
"OneFam",-93.655538,42.032432,173000
"OneFam",-93.642885,42.013169,193000
"OneFam",-93.677008,42.034747,135000
"OneFam",-93.615882,42.042105,148000
"OneFam",-93.609945,42.0347542,133500
"OneFam",-93.628301,42.02543,139400
"OneFam",-93.614307,42.049514,180000
"OneFam",-93.684397,42.013622,185900
"TwnhsE",-93.649744,42.0582,192000
"OneFam",-93.614059,42.044914,155000
"OneFam",-93.625799,42.044101,176000
"OneFam",-93.645923,42.043782,318750
"OneFam",-93.639068,42.059193,189000
"TwnhsE",-93.686264,42.0347,125000
"OneFam",-93.606847,41.98651,132000
"TwnhsE",-93.603922,41.990523,127000
"Twnhs",-93.650238,42.057467,173000
"OneFam",-93.661983,42.034644,171000
"OneFam",-93.639832,42.050895,209000
"OneFam",-93.607801,42.034801,109500
"OneFam",-93.620497,42.034906,105000
"Duplex",-93.671021,42.033386,136000
"OneFam",-93.632669,42.05622,148000
"OneFam",-93.658877,42.0623099,337500
"OneFam",-93.635367,42.049771,172000
"TwoFmCon",-93.621676,42.02903,160000
"OneFam",-93.682439,42.027956,277000
"OneFam",-93.661985,42.034018,137000
"OneFam",-93.61648,42.0330566,111000
"OneFam",-93.619352,42.044735,142100
"OneFam",-93.685028,42.034555,152000
"OneFam",-93.66104,42.0247212,131000
"OneFam",-93.601449,41.991558,130000
"OneFam",-93.661542,42.022655,79000
"OneFam",-93.621482,42.031337,138400
"OneFam",-93.635342,42.047708,154000
"TwoFmCon",-93.673401,42.033008,131500
"OneFam",-93.642334,42.055102,232000
"OneFam",-93.636373,42.061879,185000
"OneFam",-93.690276,42.017423,207500
"Duplex",-93.619334,42.044735,132500
"OneFam",-93.632178,42.052355,167900
"OneFam",-93.636146,42.061664,177000
"OneFam",-93.635899,42.04849,164000
"OneFam",-93.606891,42.03602,128000
"OneFam",-93.644203,42.013495,217500
"OneFam",-93.624688,42.031354,115000
"OneFam",-93.637808,42.054439,181900
"OneFam",-93.639715,42.054514,226500
"OneFam",-93.621452,42.043609,137500
"OneFam",-93.631604,42.060625,270000
"OneFam",-93.618504,42.051297,167300
"OneFam",-93.690971,42.025293,212000
"OneFam",-93.620343,42.034812,138000
"OneFam",-93.689083,42.017929,217000
"OneFam",-93.616582,42.043969,148000
"OneFam",-93.650499,42.059202,245700
"OneFam",-93.612061,42.02819,185000
"TwnhsE",-93.605355,41.992917,129900
"Twnhs",-93.627396,42.052758,111000
"OneFam",-93.682718,42.018006,222500
"OneFam",-93.656067,42.058599,500000
"OneFam",-93.623481,42.031415,80500
"OneFam",-93.635919,42.049394,197500
"OneFam",-93.604644,41.991098,153500
"OneFam",-93.620016,42.040931,176000
"OneFam",-93.682029,42.03085,226500
"OneFam",-93.610582,42.028104,168000
"OneFam",-93.605942,42.034685,156500
"OneFam",-93.607744,42.03146,126175
"TwnhsE",-93.648931,42.044609,270000
"OneFam",-93.671369,42.031138,137000
"OneFam",-93.659949,42.02283,95000
"OneFam",-93.617037,42.028076,117500
"OneFam",-93.674051,42.034615,141000
"TwnhsE",-93.64614,42.048086,190000
"Duplex",-93.6165473,42.0404571,135000
"OneFam",-93.628903,42.048796,130000
"TwoFmCon",-93.675549,42.033272,130000
"OneFam",-93.641772,42.061149,189500
"OneFam",-93.640051,42.061312,213000
"OneFam",-93.651703,41.992964,425000
"OneFam",-93.645014,42.010606,203135
"OneFam",-93.630258,42.04806,165150
"OneFam",-93.615622,42.040396,135000
"OneFam",-93.6143498,42.0378602,99800
"OneFam",-93.691707,42.035282,184900
"OneFam",-93.680198,42.035287,76000
"OneFam",-93.640051,42.061365,192000
"TwnhsE",-93.645599,42.048566,155000
"OneFam",-93.606803,42.031138,64000
"OneFam",-93.599791,41.9913,161000
"OneFam",-93.676222,42.021221,110000
"OneFam",-93.656801,42.060427,460000
"OneFam",-93.641377,42.057839,179000
"OneFam",-93.6192677,42.0418697,129500
"Twnhs",-93.645639,42.046145,177000
"OneFam",-93.637816,42.0545,176000
"Duplex",-93.610649,42.04124,200000
"OneFam",-93.621506,42.027998,179900
"OneFam",-93.617273,42.049671,244000
"OneFam",-93.628654,42.036023,64000
"OneFam",-93.6243778,42.0310818,89000
"OneFam",-93.606842,42.032301,45000
"TwoFmCon",-93.599575,42.022828,116000
"OneFam",-93.622644,42.035951,140000
"OneFam",-93.683309,42.020991,124900
"OneFam",-93.689344,42.016896,190550
"Duplex",-93.6072813,41.9927922,143000
"OneFam",-93.689081,42.02322,173000
"OneFam",-93.642626,42.061656,195500
"OneFam",-93.652773,42.045773,285000
"TwoFmCon",-93.620433,42.033369,119900
"OneFam",-93.689067,42.024481,260000
"OneFam",-93.614002,42.033279,107400
"Twnhs",-93.62569,42.050134,148500
"OneFam",-93.638366,42.052102,249000
"OneFam",-93.642376,42.054306,245000
"OneFam",-93.608903,42.034686,127500
"OneFam",-93.626116,42.031542,121000
"OneFam",-93.649901,42.053467,252000
"OneFam",-93.641279,42.057981,175000
"TwnhsE",-93.68369,42.016254,145000
"OneFam",-93.652641,42.05359,410000
"OneFam",-93.632537,42.045806,163000
"OneFam",-93.657828,42.061902,555000
"OneFam",-93.606789,42.030331,105900
"OneFam",-93.63736,42.060466,168000
"OneFam",-93.6392251,42.048726,205000
"OneFam",-93.616849,42.021594,80900
"OneFam",-93.683435,42.015368,193000
"OneFam",-93.642319,42.016385,218000
"OneFam",-93.6644556,42.0217997,98000
"OneFam",-93.6277098,42.0417754,145000
"OneFam",-93.622513,42.03329,117000
"OneFam",-93.6043548,42.0272664,115500
"OneFam",-93.644923,42.011836,170000
"OneFam",-93.615598,42.032202,130000
"OneFam",-93.643443,42.017131,137500
"OneFam",-93.616998,42.027073,129400
"OneFam",-93.676364,42.035806,110000
"OneFam",-93.646416,42.016067,119750
"OneFam",-93.686825,42.020145,157500
"OneFam",-93.611642,42.038521,107500
"OneFam",-93.682025,42.030623,239900
"OneFam",-93.614251,42.0427,153000
"OneFam",-93.649198,41.995142,172500
"OneFam",-93.639293,42.058201,176500
"OneFam",-93.62568,42.036182,175000
"OneFam",-93.60489,41.997062,213000
"OneFam",-93.626603,42.055184,128000
"TwoFmCon",-93.620354,42.034934,180000
"OneFam",-93.622649,42.038351,137000
"TwnhsE",-93.645478,42.046114,147110
"TwnhsE",-93.627232,42.049672,127500
"OneFam",-93.643456,42.046411,312500
"OneFam",-93.64842,42.016887,91000
"OneFam",-93.620487,42.034679,112900
"OneFam",-93.652117,42.050215,263550
"OneFam",-93.689021,42.036849,187000
"OneFam",-93.642773,42.052347,254900
"OneFam",-93.617219,42.038356,126000
"OneFam",-93.654439,42.062258,404000
"OneFam",-93.652119,42.00138,375000
"OneFam",-93.690111,42.024327,194500
"OneFam",-93.605189,42.041173,186000
"OneFam",-93.657984,42.061134,415000
"OneFam",-93.622552,42.031461,162900
"OneFam",-93.618626,42.044847,145000
"OneFam",-93.6269,42.04795,124400
"OneFam",-93.64012,42.017583,155000
"OneFam",-93.62232,42.042479,106500
"OneFam",-93.691612,42.019153,145000
"OneFam",-93.681061,42.030801,220000
"OneFam",-93.687734,42.022239,134900
"OneFam",-93.600006,41.989848,285000
"TwnhsE",-93.651163,42.057179,234250
"OneFam",-93.622299,42.059792,115000
"OneFam",-93.663366,42.024993,84000
"OneFam",-93.687786,42.016961,213000
"Twnhs",-93.641813,42.047171,174000
"OneFam",-93.626554,42.054626,148500
"TwoFmCon",-93.622874,42.060096,155000
"OneFam",-93.642108,42.054415,240000
"OneFam",-93.690324,42.017569,204000
"Duplex",-93.604519,41.996919,126000
"OneFam",-93.608704,42.027062,124900
"OneFam",-93.626689,42.021474,110000
"OneFam",-93.621674,42.028888,149500
"OneFam",-93.683309,42.032467,238000
"TwnhsE",-93.681401,42.016122,144500
"OneFam",-93.643635,42.053183,232000
"OneFam",-93.615431,42.033644,80000
"OneFam",-93.604776,41.988964,142500
"OneFam",-93.629079,42.044262,170000
"OneFam",-93.608196,42.038509,143500
"OneFam",-93.640847,42.052122,291000
"OneFam",-93.62726,42.030062,214500
"OneFam",-93.646688,42.018039,96500
"OneFam",-93.68269,42.018847,236500
"OneFam",-93.653876,42.045763,260000
"OneFam",-93.607582,42.040105,165000
"OneFam",-93.652084,42.061678,324000
"OneFam",-93.655555,42.052668,265000
"TwnhsE",-93.628119,42.052338,125000
"OneFam",-93.618143,42.0459325,144000
"OneFam",-93.68218,42.030933,215000
"OneFam",-93.607088,42.028165,140750
"OneFam",-93.612414,42.039482,127000
"TwnhsE",-93.624411,42.055319,190000
"OneFam",-93.6801568,42.0311198,147000
"OneFam",-93.603701,42.035287,109500
"TwnhsE",-93.6419,42.0623,225000
"Duplex",-93.65565,42.034576,150000
"OneFam",-93.667904,42.026547,260000
"Duplex",-93.657107,42.028049,159900
"OneFam",-93.663329,42.019937,119000
"OneFam",-93.635411,42.053271,192350
"OneFam",-93.642836,42.058401,170000
"OneFam",-93.624612,42.045685,146000
"OneFam",-93.617207,42.037122,164900
"Twnhs",-93.649723,42.059183,184500
"OneFam",-93.666066,42.028568,241500
"OneFam",-93.691931,42.0168729,196000
"OneFam",-93.669708,42.03457,124000
"OneFam",-93.621503,42.0392,138500
"OneFam",-93.604195,42.022458,81000
"TwoFmCon",-93.608752,42.02916,122500
"OneFam",-93.606742,42.034851,148000
"OneFam",-93.684102,42.033662,179900
"OneFam",-93.686916,42.021384,124000
"OneFam",-93.606933,41.995973,245000
"Duplex",-93.6030339,41.98766,159000
"OneFam",-93.687674,42.014435,183000
"OneFam",-93.687819,42.034535,175000
"OneFam",-93.612245,42.029305,265979
"TwnhsE",-93.646989,42.046372,290000
"OneFam",-93.604146,41.98822,124500
"TwnhsE",-93.64566,42.046144,180000
"TwoFmCon",-93.617386,42.028287,130000
"OneFam",-93.639068,42.059242,204000
"TwnhsE",-93.65089,42.056616,207000
"TwnhsE",-93.649714,42.059184,185850
"OneFam",-93.604987,42.037049,144750
"OneFam",-93.617086,42.040391,130000
"OneFam",-93.684944,42.029803,207000
"OneFam",-93.628069,42.045878,140000
"OneFam",-93.643373,42.046429,200000
"OneFam",-93.666096,42.025197,149900
"TwnhsE",-93.608195,41.99315,153500
"OneFam",-93.675714,42.031215,115000
"OneFam",-93.644366,41.997992,187500
"OneFam",-93.606869,42.02297,64500
"OneFam",-93.685142,42.029694,277000
"OneFam",-93.630289,42.04977,181000
"OneFam",-93.619562,42.05139,157000
"TwnhsE",-93.629808,42.058896,334000
"OneFam",-93.646289,42.016853,139000
"OneFam",-93.674179,42.03156,120000
"OneFam",-93.677717,42.031248,145000
"TwnhsE",-93.686413,42.034569,128000
"TwoFmCon",-93.655851,42.0214496,135900
"OneFam",-93.6721573,42.0240278,82500
"Duplex",-93.617693,42.044895,135000
"OneFam",-93.684271,42.013467,168675
"OneFam",-93.654437,42.062108,360000
"OneFam",-93.6565389,42.059677,354000
"OneFam",-93.641651,42.052173,256000
"Duplex",-93.619673,42.049306,124000
"OneFam",-93.689767,42.035259,191750
"OneFam",-93.644258,42.01874,195000
"OneFam",-93.642886,42.019833,138000
"OneFam",-93.62576,42.029451,180500
"Twnhs",-93.643746,42.046961,160000
"OneFam",-93.688372,42.021207,231500
"OneFam",-93.657444,42.062434,380000
"OneFam",-93.68329,42.030601,320000
"OneFam",-93.607342,41.99507,300000
"TwoFmCon",-93.655924,42.028004,108500
"OneFam",-93.6545189,42.058619,285000
"OneFam",-93.6179112,42.0303783,143000
"TwnhsE",-93.629538,42.059743,319900
"TwnhsE",-93.645482,42.046405,148800
"OneFam",-93.643312,42.059377,200000
"OneFam",-93.663479,42.019959,135000
